lemmas,positif_oneriler
"['iyi', 'kimlik', 'fotoğraf', 'önce', 'ait', 'yüz', 'doğrula', 'lütfen', 'yardımcı']","['ait yüz', 'kimlik fotoğraf', 'yüz', 'yüz doğrula', 'fotoğraf önce']"
['iyi'],['iyi']
"['hafta', 'çalışıyum', 'güvenlik', 'anahtar', 'daha', 'ileri', 'git', 'bilgi', 'var', 'yardımcı', 'sevin', 'teşekkür', 'yıldız', 'yorum', 'yaz', 'gsm', 'numara', 'git', 'paycel', 'kart', 'yine', 'saçma', 'sapan', 'program']","['güvenlik anahtar', 'anahtar daha', 'çalışıyum güvenlik', 'anahtar', 'güvenlik']"
"['sen', 'doğrula', 'i̇nternet', 'harca', 'mükemmel', 'iyi', 'finansal', 'uğurla', 'iste', 'güzel', 'finans']","['güzel finans', 'finansal uğurla', 'iyi finansal', 'mükemmel iyi', 'sen doğrula']"
"['nene', 'tasarla', 'iyi']","['nene tasarla', 'tasarla iyi', 'tasarla', 'iyi', 'nene']"
['iyi'],['iyi']
"['iyi', 'cıv', 'güvenlik', 'neden', 'oturum', 'son', 'iki', 'böyle', 'şimdi']","['neden oturum', 'son iki', 'cıv güvenlik', 'oturum son', 'iki']"
"['iyi', 'güzel', 'tamam', ""i̇nternet'ten"", 'öde', 'kod', 'gönder', 'söyle', 'kod', 'mod', 'gerçekten', 'sinir', 'boz', 'durum', 'arkadaş', 'aycell', 'fizik', 'kart', 'şok', 'sat', 'kart', 'ekle', 'birden', 'yok', 'müşteri', 'hizmet', 'ara', 'resmen', 'salla', 'garip', 'beğen', 'iyi', 'kart', 'geç']","['kart geç', 'iyi kart', 'kart ekle', 'sat kart', 'öde kod']"
"['payne', 'şirket', 'öneri', 'sun', 'kredi', 'tutar', 'açıklama', 'iyi', 'yazın', 'siz', 'öner', 'kredi', 'tutar', 'güncel', 'faiz', 'kadar', 'yasal', 'kesinti', 'işlem', 'ücret', 'kadar', 'üst', 'yapış', 'aktar', 'limit', 'başka', 'açıkla', 'yok', 'aktarım', 'işlem', 'ücret', 'kes', 'kullan', 'gün', 'lanet']","['kredi tutar', 'öner kredi', 'sun kredi', 'faiz kadar', 'kredi']"
['iyi'],['iyi']
['iyi'],['iyi']
"['iyi', 'aycell']","['iyi aycell', 'iyi', 'aycell']"
"['gerçekten', 'kullan', 'avantaj', 'sürü', 'imkan', 'sağla', 'kupon', 'beraber', 'güzel']","['sağla kupon', 'kupon beraber', 'gerçekten kullan', 'kullan avantaj', 'sürü imkan']"
"['yarar', 'hediye', 'salla', 'topla', 'gerek']","['yarar hediye', 'hediye', 'hediye salla', 'yarar', 'topla gerek']"
"['iyi', 'salla', 'iyi', 'ödül', 'var', 'türk', 'telekom', 'dalga', 'geç', 'şekil']","['türk telekom', 'var türk', 'telekom', 'dalga geç', 'telekom dalga']"
"['güzel', 'banka', 'uğraş', 'gerek', 'yapay', 'zeka', 'amerika', 'öde', 'imkan', 'güven', 'sistem', 'turkcel', 'güvence', 'güzel', 'herkes', 'tavsiye']","['turkcel güvence', 'zeka amerika', 'yapay zeka', 'güven sistem', 'imkan güven']"
"['aycell', 'puan', 'kazan', 'puan', 'kazan', 'fark', 'şey', 'iyi']","['puan kazan', 'kazan puan', 'şey iyi', 'kazan fark', 'iyi']"
"['iyi', 'sarmala', 'nbc', 'boks', 'kuzu', 'tanımla', 'delırcemcıdden', 'düzel', 'sunu']","['düzel sunu', 'nbc boks', 'iyi sarmala', 'delırcemcıdden düzel', 'boks kuzu']"
"['aycell', 'gerçekten', 'iyi', 'banka', 'değişik', 'gerek', 'mesela', 'para', 'iade', 'zaman', 'para', 'iade', 'son', 'hareket', 'gözük', 'ayüzbir', 'tarafından', 'spotify', 'iade', 'gözük', 'çöz', 'gerekli', 'tam', 'iyi', 'banka', 'aycell', 'yüksel', 'şüphe', 'duy', 'lütfen', 'çöz']","['iyi banka', 'banka değişik', 'banka', 'banka aycell', 'zaman para']"
"['iyi', 'kimlik', 'doğrula', 'kimlik', 'doğrula', 'yok', 'kimlik', 'doğrula', 'limit', 'art', 'göz', 'bulun']","['doğrula kimlik', 'kimlik doğrula', 'iyi kimlik', 'yok kimlik', 'kimlik']"
"['aşırı', 'iyi', 'keşke', 'hediye', 'dünya', 'wolfteam', 'nakit', 'koy', 'iyi', 'lütfen', 'koy']","['keşke hediye', 'hediye dünya', 'dünya wolfteam', 'hediye', 'iyi keşke']"
"['iyi', 'işlem', 'hız', 'teşekkür']","['hız teşekkür', 'işlem hız', 'iyi işlem', 'hız', 'teşekkür']"
"['iyi', 'puan', 'sala', 'kazan']","['iyi puan', 'iyi', 'puan', 'puan sala', 'kazan']"
"['iyi', 'bak', 'iyi']","['bak iyi', 'iyi bak', 'iyi', 'bak']"
"['sipariş', 'kolay', 'indirim', 'iyi']","['indirim iyi', 'kolay indirim', 'sipariş kolay', 'indirim', 'sipariş']"
"['arkadaş', 'iyi', 'araştır', 'yükle', 'tavsiye']","['yükle tavsiye', 'arkadaş', 'arkadaş iyi', 'tavsiye', 'iyi araştır']"
"['harika', 'papara', 'dan', 'iyi', 'sev', 'kullan', 'tavsiye', 'bide', 'inşallah', 'papara', 'bur', 'kar', 'para', 'kapa', 'siz', 'sev', 'aycell']","['inşallah papara', 'bide inşallah', 'inşallah', 'bur kar', 'kapa siz']"
['iyi'],['iyi']
"['aycell', 'salla', 'topla', 'kazan', 'puan', 'telefon', 'böyle', 'mesaj', 'kimbirgbister', 'tebrik', 'aycell', 'kazan', 'freebyte', 'hat', 'tanımla', 'yükle', 'hemen', 'tıkla', 'aycell', 'puan', 'kazan', 'ister', 'bak', 'puan', 'puan', 'düzel', 'rica', 'ayrıca', 'eski', 'arayüz', 'aycell', 'güzel', 'fazla', 'i̇nternet', 'var', 'i̇nternet', 'kazan', 'fazla', 'i̇nternet', 'ekle', 'eskisigibi']","['telefon böyle', 'puan telefon', 'telefon', 'mesaj', 'böyle mesaj']"
['iyi'],['iyi']
['iyi'],['iyi']
"['maalesef', 'topla', 'kazan', 'puan', 'devam', 'haftaarasıra', 'i̇nternet', 'yüksek', 'puan', 'bekle', 'saygı', 'iyi', 'çalış']","['puan bekle', 'yüksek puan', 'puan devam', 'kazan puan', 'devam haftaarasıra']"
"['iyi', 'para']","['iyi para', 'iyi', 'para']"
"['böyle', 'saçma', 'yok', 'zaman', 'otomatik']","['zaman otomatik', 'yok zaman', 'zaman', 'saçma yok', 'otomatik']"
"['iyi', 'iman', 'sev', 'kredi', 'iyi']","['iyi iman', 'iman sev', 'iman', 'kredi iyi', 'sev kredi']"
"['iyi', 'aycell', 'tebrik']","['aycell tebrik', 'tebrik', 'iyi aycell', 'iyi', 'aycell']"
"['kampanya', 'güzel', 'arayüz', 'biraz', 'estetik', 'mod', 'lazım', 'fizik', 'kart', 'isim', 'yaz', 'fazla', 'renk', 'seçenek']","['renk seçenek', 'biraz estetik', 'fazla renk', 'estetik mod', 'estetik']"
"['beş', 'para', 'kimlik', 'doğrula', 'özellik', 'koy', 'bile', 'madem', 'koy', 'koy', 'düzgün', 'geçir', 'güzel', 'geçir', 'kıvır', 'başla']","['beş para', 'özellik koy', 'beş', 'kimlik doğrula', 'para kimlik']"
"['iyi', 'nbc', 'özellik', 'kalk', 'telefon', 'nbc', 'özellik', 'var']","['telefon nbc', 'iyi nbc', 'telefon', 'nbc özellik', 'özellik var']"
