lemmas,sentiment,Puan,review_length,normalized_pred_label,Tarih
"['sorun', 'var', 'sanal', 'kart', 'oluş', 'hata', 'bilgi']",neutral,3,58,negative,2025-12-10 19:02:20
"['basit', 'ilan', 'devlet', 'adres', 'doğrula', 'bile', 'istiolar', 'gerek', 'sadece', 'kimlik', 'selfie', 'yetmiomu', 'ney', 'konum']",negative,1,134,neutral,2025-12-10 17:59:13
"['hesap', 'kal', 'hesap', 'sırf', 'veli', 'onay', 'gozukmuyor', 'yaş', 'kendi', 'bilgi', 'gir', 'sırf', 'veli', 'onay', 'olmadigi', 'kart', 'gozukmuyor', 'kart', 'kirildigi', 'bilgi', 'yok', 'kalder', 'veli', 'onay', 'olmadigi', 'master', 'hizmet', 'ara', 'yardimci', 'bilgi', 'gozumuyo', 'kart', 'gozukmuyo', 'saçma']",negative,1,318,negative,2025-12-10 17:41:49
"['yeni', 'onayla', 'dene', 'kimlik', 'yüz', 'kullan', 'saat', 'boyunca', 'dene']",negative,2,80,positive,2025-12-10 14:19:49
"['hesap', 'kesim', 'tarih', 'gece', 'sonra', 'calısmıyortraji', 'komik', 'bur', 'durum']",neutral,3,88,negative,2025-12-10 01:15:03
"['sürekli', 'acılmıyo']",negative,2,23,negative,2025-12-10 00:38:56
"['aycell', 'memnun', 'değil', 'kalite', 'çözüm', 'müşteri', 'memnuniyet', 'yüz', 'turkcell', 'başka', 'gsm', 'gezi', 'fatura', 'bit', 'sonraturkcell', 'kullan']",negative,1,160,negative,2025-12-10 00:20:45
"['kart', 'para', 'yükliyecem', 'kart', 'yükle', 'yardım', 'lütfen']",positive,4,67,neutral,2025-12-09 22:18:16
"['kayıt', 'fatura', 'düzenle', 'değiş', 'bölüm', 'klavye']",neutral,3,58,neutral,2025-12-09 20:39:12
"['hayat', 'gör', 'kötü', 'kart', 'biri', 'hesap', 'doğrula', 'çalış', 'hata', 'dur', 'teknik', 'sorun', 'var', 'dur', 'önce', 'hesap', 'doğru', 'hesap', 'ancak', 'para', 'yatır', 'para', 'çek', 'sadece', 'sanal', 'kart', 'kullan', 'para', 'transfer', 'yapı', 'işlem', 'onay', 'hayat', 'kadar', 'iğrenç', 'kart', 'gör']",negative,1,318,negative,2025-12-09 20:00:11
"['yüz', 'tanı', 'madalya', 'hiçbir', 'türlü', 'calismadi']",negative,1,58,negative,2025-12-09 18:03:49
"['mantık', 'komisyon', 'alın', 'yüz', 'kapa']",negative,2,45,neutral,2025-12-09 17:20:38
"['aylık', 'kart', 'ücret', 'kes', 'banka', 'dahi', 'kes', 'aycell', 'kendi', 'hak', 'bul', 'aman', 'dikkat']",negative,1,108,negative,2025-12-09 14:55:34
"['kart', 'aktar', 'para', 'kes', 'vergi', 'kimse', 'tavsiye', 'kesinlikle', 'resmen', 'vergi', 'bindir', 'düzel']",positive,5,113,neutral,2025-12-09 02:31:32
