lemmas,lemmas_text,yapici_mi
"['şifre', 'yanlış', 'girdi', 'sene', 'gir']",şifre yanlış girdi sene gir,0
"['saat', 'aycell', 'hesap', 'papara', 'hesap', 'para', 'gönder', 'çalış', 'türlü', 'rezalet']",saat aycell hesap papara hesap para gönder çalış türlü rezalet,0
"['berbat', 'zula', 'alt', 'yükle', 'kriter', 'yerine', 'getir', 'fakat', 'kriter', 'yerine', 'getir', 'saçmala', 'sahtekar']",berbat zula alt yükle kriter yerine getir fakat kriter yerine getir saçmala sahtekar,0
"['büyük', 'kazak', 'aysel', 'özen', 'boş', 'boş']",büyük kazak aysel özen boş boş,0
"['saçma', 'sapan', 'hata', 'bulaş']",saçma sapan hata bulaş,0
"['sanal', 'kart', 'olusmadi', 'işlem', 'geçersiz', 'yoz']",sanal kart olusmadi işlem geçersiz yoz,0
"['puan', 'bile', 'hak']",puan bile hak,0
"['oğul', 'bil', 'oyun', 'para', 'yatır', 'kısa', 'süre', 'taraf', 'iade', 'iste']",oğul bil oyun para yatır kısa süre taraf iade iste,0
"['shell', 'puan', 'katıl', 'puan', 'yükle', 'sonra', 'kampanya', 'bin', 'kişi', 'fayda', 'yükle', 'puan', 'sen', 'kullanödemeleri', 'sonra', 'bin', 'kişi', 'dol', 'deyip', 'puan']",shell puan katıl puan yükle sonra kampanya bin kişi fayda yükle puan sen kullanödemeleri sonra bin kişi dol deyip puan,0
"['hane', 'şifre', 'gir', 'alt', 'kutu', 'hane', 'şifre', 'sor', 'kafa', 'bul', 'yok', 'yanlış', 'oku', 'hesap', 'bloke']",hane şifre gir alt kutu hane şifre sor kafa bul yok yanlış oku hesap bloke,0
"['puan', 'tekrar', 'geri', 'git']",puan tekrar geri git,0
"['bomboş', 'öner']",bomboş öner,0
"['boş', 'hiçbir', 'şekil', 'i̇nternet', 'salla', 'topla', 'var', 'puan', 'hiçbir', 'yara', 'kesinlikle', 'boş', 'yükle', 'yükle', 'yükle']",boş hiçbir şekil i̇nternet salla topla var puan hiçbir yara kesinlikle boş yükle yükle yükle,0
"['aycell', 'salla', 'topla', 'bile', 'şaka']",aycell salla topla bile şaka,0
"['para', 'gönder', 'para', 'yat', 'para', 'iade', 'para', 'rezil']",para gönder para yat para iade para rezil,0
"['kankaymis', 'haracami', 'bagladiniz', 'yükle', 'kurum', 'para', 'kes', 'sil', 'yet']",kankaymis haracami bagladiniz yükle kurum para kes sil yet,0
"['boş', 'tavsiye']",boş tavsiye,0
"['iki', 'çık']",iki çık,0
"['saçma', 'hane', 'şifre', 'gir', 'şifre', 'unut', 'mail', 'hane', 'şifre', 'gir', 'uğraş', 'uğraş', 'yok', 'arkadaş', 'saçma', 'sapan', 'birey']",saçma hane şifre gir şifre unut mail hane şifre gir uğraş uğraş yok arkadaş saçma sapan birey,0
"['زبالة', 'بكل', 'معنى', 'الكلمة']",زبالة بكل معنى الكلمة,0
"['para', 'yükle', 'zaman', 'para', 'hesap', 'geç', 'uzun', 'sür']",para yükle zaman para hesap geç uzun sür,0
"['kötü', 'papara', 'bin', 'kat', 'iyi']",kötü papara bin kat iyi,0
"['zor', 'kullan', 'bile', 'kart', 'parça', 'banka', 'doğrula', 'kadar', 'saçma', 'yok', 'tavsiye']",zor kullan bile kart parça banka doğrula kadar saçma yok tavsiye,0
"['puan', 'kolay']",puan kolay,0
