lemmas,positif_oneriler
"['sakin', 'gir']","['sakin gir', 'sakin', 'gir']"
"['iyi', 'kimlik', 'fotoğraf', 'önce', 'ait', 'yüz', 'doğrula', 'lütfen', 'yardımcı']","['ait yüz', 'kimlik fotoğraf', 'yüz', 'yüz doğrula', 'fotoğraf önce']"
['iyi'],['iyi']
"['hafta', 'çalışıyum', 'güvenlik', 'anahtar', 'daha', 'ileri', 'git', 'bilgi', 'var', 'yardımcı', 'sevin', 'teşekkür', 'yıldız', 'yorum', 'yaz', 'gsm', 'numara', 'git', 'paycel', 'kart', 'yine', 'saçma', 'sapan', 'program']","['güvenlik anahtar', 'anahtar daha', 'çalışıyum güvenlik', 'anahtar', 'güvenlik']"
"['gerçekten', 'mükemmel', 'hediye', 'hoş', 'git', 'allah', 'siz', 'razı']","['mükemmel hediye', 'hediye hoş', 'hediye', 'allah siz', 'mükemmel']"
"['sen', 'doğrula', 'i̇nternet', 'harca', 'mükemmel', 'iyi', 'finansal', 'uğurla', 'iste', 'güzel', 'finans']","['güzel finans', 'finansal uğurla', 'iyi finansal', 'mükemmel iyi', 'sen doğrula']"
"['play', 'mağaza', 'sayfa', 'kuru', 'firma', 'turkcell', 'yaz', 'düzel', 'lütfen', 'turkcell']","['play mağaza', 'lütfen turkcell', 'turkcell yaz', 'firma turkcell', 'turkcell']"
"['vodafone', 'kullan', 'para', 'çek', 'işlem', 'gönder', 'işlem']","['çek işlem', 'gönder işlem', 'vodafone kullan', 'para çek', 'kullan para']"
['çalış'],['çalış']
"['şikayet', 'ilet', 'biz', 'ulaş', 'bölüm', 'gönderim']","['şikayet', 'şikayet ilet', 'bölüm gönderim', 'gönderim', 'ulaş bölüm']"
"['düzen', 'kullan', 'hesap', 'açıkla', 'kapa']","['hesap açıkla', 'açıkla kapa', 'hesap', 'düzen kullan', 'kullan hesap']"
['güzel'],['güzel']
"['yaa', 'anlıyorumtürkiyede', 'firma', 'rabbe', 'banane', 'sene', 'birik', 'puan', 'aycell', 'puan', 'sadece', 'turkcell', 'mağaza', 'indirim', 'alabiliyorumgünümüzde', 'phone', 'telefon', 'bile', 'tane', 'biz', 'iletişim', 'şirket', 'müşteri', 'güzel', 'kampanya', 'sunmuyorhediyelere', 'bak', 'dilenci', 'sokak', 'biz', 'teklif', 'ediyorbiraz', 'cesaretyani', 'sene', 'siz', 'ton', 'para', 'öde', 'insan', 'güzel', 'kampanya', 'sununekonominiz', 'sars', 'puan']","['anlıyorumtürkiyede firma', 'indirim alabiliyorumgünümüzde', 'kampanya sununekonominiz', 'ton para', 'sokak biz']"
"['kullanım', 'dayat']","['kullanım dayat', 'kullanım', 'dayat']"
"['nene', 'tasarla', 'iyi']","['nene tasarla', 'tasarla iyi', 'tasarla', 'iyi', 'nene']"
['iyi'],['iyi']
"['kod', 'başka', 'banka', 'kartlarındada', 'kullan', 'harika', 'özellik', 'başka', 'yok', 'bütün', 'fatura', 'talimat', 'gecik', 'var', 'tek', 'ekran', 'takip', 'kart', 'borç', 'öde', 'geçmiş', 'işlem', 'kayıt', 'saye', 'kolay']","['banka kartlarındada', 'kart borç', 'kartlarındada kullan', 'takip kart', 'borç öde']"
['mükemmel'],['mükemmel']
"['iyi', 'cıv', 'güvenlik', 'neden', 'oturum', 'son', 'iki', 'böyle', 'şimdi']","['neden oturum', 'son iki', 'cıv güvenlik', 'oturum son', 'iki']"
['mükemmel'],['mükemmel']
['güzel'],['güzel']
"['iyi', 'güzel', 'tamam', ""i̇nternet'ten"", 'öde', 'kod', 'gönder', 'söyle', 'kod', 'mod', 'gerçekten', 'sinir', 'boz', 'durum', 'arkadaş', 'aycell', 'fizik', 'kart', 'şok', 'sat', 'kart', 'ekle', 'birden', 'yok', 'müşteri', 'hizmet', 'ara', 'resmen', 'salla', 'garip', 'beğen', 'iyi', 'kart', 'geç']","['kart geç', 'iyi kart', 'kart ekle', 'sat kart', 'öde kod']"
"['payne', 'şirket', 'öneri', 'sun', 'kredi', 'tutar', 'açıklama', 'iyi', 'yazın', 'siz', 'öner', 'kredi', 'tutar', 'güncel', 'faiz', 'kadar', 'yasal', 'kesinti', 'işlem', 'ücret', 'kadar', 'üst', 'yapış', 'aktar', 'limit', 'başka', 'açıkla', 'yok', 'aktarım', 'işlem', 'ücret', 'kes', 'kullan', 'gün', 'lanet']","['kredi tutar', 'öner kredi', 'sun kredi', 'faiz kadar', 'kredi']"
"['güzel', 'teşekkür']","['güzel teşekkür', 'teşekkür', 'güzel']"
['iyi'],['iyi']
"['onay', 'para', 'abi']","['onay para', 'onay', 'para abi', 'abi', 'para']"
['iyi'],['iyi']
"['sonunda', 'iade', 'teşekkür', 'aycell']","['iade teşekkür', 'teşekkür', 'sonunda iade', 'sonunda', 'teşekkür aycell']"
"['güzel', 'kart', 'kere', 'kullan', 'i̇nternet', 'alışveriş', 'kapa', 'doğru', 'para', 'yatır', 'kart', 'kullan', 'hal']","['kart kullan', 'güzel kart', 'kart kere', 'yatır kart', 'nternet alışveriş']"
"['iyi', 'aycell']","['iyi aycell', 'iyi', 'aycell']"
"['gerçekten', 'kullan', 'avantaj', 'sürü', 'imkan', 'sağla', 'kupon', 'beraber', 'güzel']","['sağla kupon', 'kupon beraber', 'gerçekten kullan', 'kullan avantaj', 'sürü imkan']"
"['salla', 'topla', 'herhalde', 'telefon', 'destekle', 'lütfen', 'tıkla', 'özellik', 'gelsinkolay']","['telefon destekle', 'herhalde telefon', 'telefon', 'tıkla özellik', 'lütfen tıkla']"
"['yarar', 'hediye', 'salla', 'topla', 'gerek']","['yarar hediye', 'hediye', 'hediye salla', 'yarar', 'topla gerek']"
"['ata', 'iade', 'bekle', 'bulaş', 'yorum', 'hala', 'aynı', 'sorun', 'devam', 'iade', 'geç', 'ayıp', 'yaaaaaa']","['yorum hala', 'sorun devam', 'iade bekle', 'bekle bulaş', 'hala']"
"['coni', 'güzel', 'fayda']","['güzel fayda', 'fayda', 'coni güzel', 'güzel', 'coni']"
['ses'],['ses']
"['iyi', 'salla', 'iyi', 'ödül', 'var', 'türk', 'telekom', 'dalga', 'geç', 'şekil']","['türk telekom', 'var türk', 'telekom', 'dalga geç', 'telekom dalga']"
"['güzel', 'banka', 'uğraş', 'gerek', 'yapay', 'zeka', 'amerika', 'öde', 'imkan', 'güven', 'sistem', 'turkcel', 'güvence', 'güzel', 'herkes', 'tavsiye']","['turkcel güvence', 'zeka amerika', 'yapay zeka', 'güven sistem', 'imkan güven']"
"['aycell', 'puan', 'kazan', 'puan', 'kazan', 'fark', 'şey', 'iyi']","['puan kazan', 'kazan puan', 'şey iyi', 'kazan fark', 'iyi']"
"['hesap', 'doğrula', 'kampanya', 'para', 'transfer', 'yaklaşık', 'yıl', 'aktif', 'kullan', 'kampanya', 'iki', 'hariç', 'önem', 'sorun', 'yaşa', 'bugün', 'kadar', 'kampanya', 'yönelik', 'harca', 'nakit', 'iade', 'hemen', 'güzel']","['kampanya para', 'kadar kampanya', 'doğrula kampanya', 'kullan kampanya', 'kampanya yönelik']"
"['fatura', 'yansı', 'ücret', 'kusur']","['ücret kusur', 'fatura yansı', 'yansı ücret', 'fatura', 'ücret']"
"['merhaba', 'arayüz', 'tema', 'falan', 'değiş', 'seçenek', 'klasik', 'sade', 'tasarım', 'kötü', 'mesela', 'karanlık', 'tema', 'yad', 'arayüz', 'tasarım', 'değiş', 'mod', 'seçenek', 'efsane', 'bird', 'kart', 'tasarım', 'mesela', 'futbol', 'taraftar', 'yad', 'görsel', 'gönder', 'süsle', 'harbi', 'efsane', 'gerçekten', 'tasarım', 'kötü']","['tasarım kötü', 'seçenek efsane', 'tasarım değiş', 'gerçekten tasarım', 'tasarım mesela']"
['süper'],['süper']
"['iyi', 'sarmala', 'nbc', 'boks', 'kuzu', 'tanımla', 'delırcemcıdden', 'düzel', 'sunu']","['düzel sunu', 'nbc boks', 'iyi sarmala', 'delırcemcıdden düzel', 'boks kuzu']"
['güzel'],['güzel']
"['aycell', 'gerçekten', 'iyi', 'banka', 'değişik', 'gerek', 'mesela', 'para', 'iade', 'zaman', 'para', 'iade', 'son', 'hareket', 'gözük', 'ayüzbir', 'tarafından', 'spotify', 'iade', 'gözük', 'çöz', 'gerekli', 'tam', 'iyi', 'banka', 'aycell', 'yüksel', 'şüphe', 'duy', 'lütfen', 'çöz']","['iyi banka', 'banka değişik', 'banka', 'banka aycell', 'zaman para']"
