lemmas,positif_oneriler
"['yeni', 'onayla', 'dene', 'kimlik', 'yüz', 'kullan', 'saat', 'boyunca', 'dene']","['dene kimlik', 'yüz kullan', 'saat boyunca', 'boyunca dene', 'kimlik yüz']"
['güzel'],['güzel']
"['aycell', 'oldukça', 'güven', 'rahat', 'kullanım', 'sun', 'aynı', 'zaman', 'sorun', 'gider', 'ivedi', 'görüşme', 'çözüm', 'olumlu', 'sonuç', 'memnun', 'teşekkür', 'turkcell', 'aycell', 'iyi', 'çalış']","['teşekkür turkcell', 'turkcell aycell', 'görüşme çözüm', 'çözüm olumlu', 'rahat kullanım']"
['düzel'],['düzel']
['harikulade'],['harikulade']
['mükemmel'],['mükemmel']
['güzel'],['güzel']
"['gir', 'kimlik', 'oku', 'devam']","['kimlik oku', 'gir kimlik', 'kimlik', 'oku devam', 'oku']"
"['ilk', 'kullan', 'balad', 'mutlu', 'şimdi', 'mutlu', 'kesinlikle', 'öner', 'güzel']","['balad mutlu', 'mutlu kesinlikle', 'mutlu şimdi', 'şimdi mutlu', 'mutlu']"
['iyi'],['iyi']
"['memnun', 'gizli', 'kullanişli', 'hiza', 'yetiş', 'amaç', 'gelecek', 'yön']","['amaç gelecek', 'memnun gizli', 'yetiş amaç', 'gelecek yön', 'gizli kullanişli']"
['iyi'],['iyi']
"['herman', 'alt', 'kredi', 'hazır', 'mükemmel']","['kredi hazır', 'hazır mükemmel', 'alt kredi', 'kredi', 'mükemmel']"
"['uzun', 'süre', 'salla', 'topla', 'dan', 'puan', 'kullan']","['süre salla', 'uzun', 'uzun süre', 'puan kullan', 'süre']"
"['iyi', 'halen', 'kullan']","['halen kullan', 'iyi halen', 'iyi', 'kullan', 'halen']"
"['kimlik', 'doğrula', 'yüz', 'tara', 'hal', 'bugün', 'tekrar', 'iste', 'ilan', 'git', 'kimlik', 'doğrula', 'geçici', 'hata', 'uyarı', 'kritik', 'hata', 'çıkar', 'tasarı', 'değiş', 'yazılım', 'teşekkür', 'ilet']","['hata uyarı', 'yazılım teşekkür', 'geçici hata', 'kimlik doğrula', 'değiş yazılım']"
